name,version,min_upload_time,max_upload_time
pandas,0.24.0rc1,2019-01-11 21:51:09.466839 UTC,2019-01-14 17:47:37.911318 UTC
pandas,0.23.4,2018-08-04 18:47:17.397244 UTC,2018-09-05 18:00:21.387937 UTC
pandas,0.23.3,2018-07-07 20:26:01.178473 UTC,2018-07-07 20:29:01.440838 UTC
pandas,0.23.2,2018-07-06 12:23:36.526866 UTC,2018-07-06 15:49:22.615966 UTC
pandas,0.23.1,2018-06-13 02:14:42.925889 UTC,2018-06-13 02:18:31.922415 UTC
pandas,0.23.0,2018-05-16 02:11:07.423746 UTC,2018-05-16 02:30:41.329571 UTC
pandas,0.23.0rc2,2018-05-02 16:54:40.179948 UTC,2018-05-02 17:04:47.719963 UTC
pandas,0.22.0,2017-12-31 12:37:46.046069 UTC,2017-12-31 12:44:22.533019 UTC
pandas,0.21.1,2017-12-13 04:16:33.445467 UTC,2017-12-13 04:22:18.894567 UTC
pandas,0.21.0,2017-10-28 18:44:46.975876 UTC,2017-12-13 04:16:12.486642 UTC
pandas,0.21.0rc1,2017-10-13 15:00:53.621829 UTC,2017-10-13 15:08:46.932893 UTC
pandas,0.20.3,2017-07-07 21:39:55.596866 UTC,2017-07-07 21:52:03.332112 UTC
pandas,0.20.2,2017-06-05 12:24:15.340733 UTC,2017-06-05 12:35:14.501825 UTC
pandas,0.20.1,2017-05-05 17:32:13.270483 UTC,2017-05-05 20:15:59.116481 UTC
pandas,0.20.0,2017-05-05 02:46:47.534114 UTC,2017-05-05 11:45:41.262750 UTC
pandas,0.20.0rc1,2017-04-22 11:02:58.041180 UTC,2017-04-22 16:31:34.556288 UTC
pandas,0.19.2,2016-12-24 17:02:06.649164 UTC,2017-01-03 14:29:07.783089 UTC
pandas,0.19.1,2016-11-03 16:32:09.315565 UTC,2016-11-04 08:55:49.785806 UTC
pandas,0.19.0,2016-10-02 15:47:13.474480 UTC,2016-10-03 08:30:25.277049 UTC
pandas,0.19.0rc1,2016-09-08 00:08:41.557337 UTC,2016-09-08 10:09:27.985125 UTC
pandas,0.18.1,2016-05-05 00:24:25.372953 UTC,2016-07-19 20:26:49.338216 UTC
pandas,0.18.0,2016-03-12 15:43:00.842643 UTC,2016-03-12 15:44:29.390262 UTC
pandas,0.17.1,2015-11-20 18:59:34.124851 UTC,2015-11-20 19:02:20.806679 UTC
pandas,0.17.0,2015-10-09 14:17:16.679835 UTC,2015-10-09 18:50:32.583305 UTC
pandas,0.16.2,2015-06-13 14:13:02.574277 UTC,2015-06-13 17:45:57.609236 UTC
pandas,0.16.1,2015-05-11 01:20:43.862282 UTC,2015-05-11 11:41:45.261781 UTC
pandas,0.16.0,2015-03-22 13:45:00.189836 UTC,2015-03-23 09:59:03.118696 UTC
pandas,0.15.2,2014-12-11 16:51:54.467833 UTC,2015-01-25 22:38:09.702673 UTC
pandas,0.15.1,2014-11-08 13:35:19.324701 UTC,2014-11-08 22:33:04.305244 UTC
pandas,0.15.0,2014-10-19 00:57:13.365526 UTC,2014-10-19 12:28:21.327337 UTC
pandas,0.14.1,2014-07-10 23:58:38.034360 UTC,2014-07-28 12:49:37.121746 UTC
pandas,0.14.0,2014-05-30 12:40:06.630495 UTC,2014-05-30 19:47:40.583740 UTC
pandas,0.13.1,2014-02-09 22:20:44.855078 UTC,2014-02-09 22:31:50.604268 UTC
pandas,0.13.0,2014-01-14 23:10:46.396079 UTC,2014-01-16 23:10:24.694489 UTC
pandas,0.12.0,2013-07-24 20:22:22.133069 UTC,2013-07-26 00:42:14.040852 UTC
pandas,0.11.0,2013-04-23 01:05:34.234288 UTC,2013-04-23 02:18:46.256097 UTC
pandas,0.10.1,2013-01-22 05:22:04.365905 UTC,2013-01-22 13:50:54.982850 UTC
pandas,0.10.0,2012-12-17 16:52:02.650080 UTC,2012-12-19 17:38:02.942269 UTC
pandas,0.9.1,2012-11-15 00:41:47.735678 UTC,2012-11-15 03:07:14.400609 UTC
pandas,0.9.0,2012-10-08 00:17:48.512671 UTC,2012-10-08 00:55:47.038866 UTC
pandas,0.8.1,2012-07-22 21:48:25.958262 UTC,2012-09-27 08:28:05.576836 UTC
pandas,0.8.0,2012-06-29 18:21:06.065832 UTC,2012-06-29 18:56:04.185902 UTC
pandas,0.8.0rc2,2012-06-22 21:44:58.584597 UTC,2012-06-22 22:40:43.648631 UTC
pandas,0.8.0rc1,2012-06-22 21:35:15.654747 UTC,2012-06-22 21:35:19.044417 UTC
pandas,0.7.3,2012-04-12 19:36:20.081721 UTC,2012-04-12 20:09:26.992711 UTC
pandas,0.7.2,2012-03-16 21:39:20.617641 UTC,2012-03-16 22:36:41.546917 UTC
pandas,0.7.1,2012-02-29 23:06:17.193098 UTC,2012-03-01 00:11:53.967179 UTC
pandas,0.7.0,2012-02-09 23:30:09.369893 UTC,2012-02-10 00:11:04.265298 UTC
pandas,0.7.0rc1,2012-01-20 05:37:18.767384 UTC,2012-01-20 05:53:29.767111 UTC
pandas,0.6.1,2011-12-14 00:08:35.560100 UTC,2011-12-14 00:22:10.867613 UTC
pandas,0.6.0,2011-11-26 04:23:05.278573 UTC,2011-11-26 23:38:02.568772 UTC
pandas,0.5.0,2011-10-25 04:35:01.745719 UTC,2011-10-25 16:15:58.651132 UTC
pandas,0.4.3,2011-10-09 23:59:30.380190 UTC,2011-10-10 00:59:02.288523 UTC
pandas,0.4.2,2011-10-03 06:48:14.509510 UTC,2011-10-03 06:56:03.944269 UTC
pandas,0.4.1,2011-09-26 03:27:46.928465 UTC,2011-09-26 03:55:34.172315 UTC
pandas,0.4.0,2011-09-12 22:35:52.594175 UTC,2011-09-12 22:41:38.058936 UTC
pandas,0.3.0,2011-02-20 02:00:14.775348 UTC,2011-02-20 02:52:13.505575 UTC
pandas,0.3.0.beta2,2010-12-31 23:49:33.530849 UTC,2011-01-01 23:07:59.973552 UTC
pandas,0.3.0.beta,2010-12-16 21:19:02.448111 UTC,2010-12-24 23:22:45.055977 UTC
pandas,0.2,2010-05-18 15:14:26.615980 UTC,2010-05-18 15:14:26.615980 UTC
pandas,0.2b1,2010-05-18 15:09:05.234846 UTC,2010-05-18 15:09:05.234846 UTC
pandas,0.2beta,2010-05-18 15:05:11.285900 UTC,2010-05-18 15:05:11.285900 UTC
pandas,0.1,2009-12-25 23:58:31.560462 UTC,2009-12-26 17:14:35.535087 UTC
